,Date,AirPort,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees,Rank_2018,State,2018,2017,2016,2015,city,lat,lng,population,density,ranking,Fuel_price,Holiday,Month,Year,Quarter,LOAD_FACTOR
12,2011-09-01,MCO,32,28,23,25,24,23,100,80,59,1019,1017,1016,16,16,16,23,6,35.0,5.33,5,Rain-Thunderstorm,73,10 ,FL,23184634,21565448,20283541,18759938,Orlando,28.4772,-81.3369,1776841.0,982.0,1,3088,0,9,2011,3,81.82
13,2011-09-01,EWR,28,24,19,17,15,12,81,60,39,1022,1021,1019,16,16,14,26,7,34.0,0.00,4,,137,11 ,NJ,22798354,21571198,19923009,18684818,Newark,40.7245,-74.1725,285154.0,4560.0,2,3088,0,9,2011,3,81.82
14,2011-09-01,SEA,23,17,10,11,9,7,89,64,38,1024,1022,1020,16,15,10,29,10,34.0,0.00,4,,211,8 ,WA,24894338,22639124,21887110,21231781,Seattle,47.6211,-122.3244,3643765.0,3336.0,1,3088,0,9,2011,3,81.82
15,2011-09-01,MSP,34,28,22,23,21,19,90,70,49,1011,1007,1004,16,13,6,32,14,42.0,0.00,2,,150,17 ,MN,18363493,18409704,18123844,17634252,Minneapolis,44.9635,-93.2678,2926757.0,3019.0,1,3088,0,9,2011,3,81.82
16,2011-09-01,DTW,33,28,22,22,20,19,84,64,44,1016,1015,1013,16,11,5,19,6,21.0,0.00,3,,194,19 ,MI,17437716,17036092,16826287,16255520,Detroit,42.3834,-83.1024,3522206.0,1873.0,1,3088,0,9,2011,3,81.82
17,2011-09-01,PHL,28,23,17,17,15,12,93,68,42,1022,1021,1019,16,16,14,16,4,26.0,0.00,4,,191,20 ,PA,15285948,14271243,14564419,15101318,Philadelphia,40.0077,-75.1339,5637884.0,4547.0,1,3088,0,9,2011,3,81.82
18,2011-09-01,BOS,22,19,17,16,14,12,90,72,53,1024,1023,1021,16,16,14,23,11,26.0,0.00,4,,67,16 ,MA,20010262,18759742,17749202,16290362,Boston,42.3188,-71.0846,4637537.0,5472.0,1,3088,0,9,2011,3,81.82
19,2011-09-01,LGA,27,24,21,17,13,9,68,51,33,1022,1021,1019,16,16,16,26,11,34.0,0.00,4,,139,21 ,NY,15059648,14614802,14706123,14762593,New York,40.6943,-73.9249,19354922.0,11083.0,1,3088,0,9,2011,3,81.82
20,2011-09-02,ATL,36,29,22,17,15,14,61,46,30,1019,1016,1014,16,16,16,24,7,34.0,0.00,2,,185,1 ,GA,51866464,50251964,50501858,49340732,Atlanta,33.7627,-84.4225,5228750.0,1384.0,1,3038,0,9,2011,3,81.82
21,2011-09-02,ORD,33,29,24,22,21,19,79,64,49,1013,1012,1011,16,15,11,27,12,37.0,0.00,4,,215,3 ,IL,39874879,38593028,37589899,36305668,Chicago,41.8373,-87.6862,8675982.0,4612.0,1,3038,0,9,2011,3,81.82
22,2011-09-02,LAX,19,17,14,14,13,13,93,83,73,1014,1012,1011,16,10,4,26,14,32.0,0.00,6,Fog,263,2 ,CA,42626783,41232432,39636042,36351226,Los Angeles,34.1139,-118.4068,12815475.0,3295.0,1,3038,0,9,2011,3,81.82
23,2011-09-02,DFW,38,33,28,22,18,13,65,45,24,1013,1011,1008,16,16,16,29,15,37.0,0.00,2,,127,4 ,TX,32800721,31816933,31283579,31589832,Dallas,32.7936,-96.7662,5733259.0,1524.0,1,3038,0,9,2011,3,81.82
24,2011-09-02,DEN,31,22,14,15,11,3,86,55,23,1022,1015,1007,16,14,4,71,15,85.0,4.83,6,Rain-Thunderstorm,65,5 ,CO,31363573,29809097,28267394,26280043,Denver,39.7621,-104.8759,2787266.0,1774.0,1,3038,0,9,2011,3,81.82
25,2011-09-02,JFK,24,21,17,16,15,14,84,69,54,1021,1020,1018,16,16,16,21,10,26.0,0.00,2,,146,6 ,NY,30541459,29533154,29239151,27782369,New York,40.6943,-73.9249,19354922.0,11083.0,1,3038,0,9,2011,3,81.82
26,2011-09-02,SFO,23,18,13,15,12,10,86,68,49,1012,1011,1010,16,16,13,40,17,50.0,0.00,1,,295,7 ,CA,27794154,26900048,25707101,24190549,San Francisco,37.7562,-122.443,3603761.0,7286.0,1,3038,0,9,2011,3,81.82
27,2011-09-02,CLT,36,28,20,21,19,18,93,66,39,1019,1017,1013,16,14,8,56,5,74.0,1.52,3,Rain-Thunderstorm,338,12 ,NC,22283574,22011251,21511880,21913166,Charlotte,35.2079,-80.8304,1467362.0,1081.0,1,3038,0,9,2011,3,81.82
28,2011-09-02,LAS,40,32,24,-3,-10,-18,11,7,3,1009,1007,1005,16,16,16,39,14,52.0,0.00,1,,206,9 ,NV,23655285,23364393,22833267,21824231,Las Vegas,36.2333,-115.2654,2073045.0,1747.0,1,3038,0,9,2011,3,81.82
29,2011-09-02,PHX,39,35,31,20,14,4,53,33,12,1009,1007,1004,16,12,1,48,13,60.0,T,5,Rain,261,13 ,AZ,21623842,21185458,20896265,21351445,Phoenix,33.5722,-112.0891,4081849.0,1212.0,1,3038,0,9,2011,3,81.82
30,2011-09-02,IAH,38,32,26,23,21,19,79,58,32,1012,1010,1007,16,16,16,34,18,39.0,0.00,2,,65,14 ,TX,21157948,19603731,20062072,20595874,Houston,29.7869,-95.3905,5446468.0,1401.0,1,3038,0,9,2011,3,81.82
31,2011-09-02,MIA,31,28,24,26,23,22,94,81,68,1015,1014,1014,16,15,8,24,6,37.0,1.02,6,Rain-Thunderstorm,72,15 ,FL,21025210,20709225,20875813,20986341,Miami,25.7839,-80.2102,6381966.0,4969.0,1,3038,0,9,2011,3,81.82
32,2011-09-02,MCO,32,27,22,23,21,16,100,73,46,1017,1015,1014,16,16,16,27,8,37.0,0.00,4,,64,10 ,FL,23184634,21565448,20283541,18759938,Orlando,28.4772,-81.3369,1776841.0,982.0,1,3038,0,9,2011,3,81.82
33,2011-09-02,EWR,26,23,19,16,14,13,81,63,45,1021,1019,1017,16,16,16,16,8,24.0,0.00,3,,156,11 ,NJ,22798354,21571198,19923009,18684818,Newark,40.7245,-74.1725,285154.0,4560.0,2,3038,0,9,2011,3,81.82
34,2011-09-02,SEA,22,18,13,11,9,6,83,61,38,1025,1024,1021,16,16,16,24,11,29.0,0.00,5,,338,8 ,WA,24894338,22639124,21887110,21231781,Seattle,47.6211,-122.3244,3643765.0,3336.0,1,3038,0,9,2011,3,81.82
35,2011-09-02,MSP,28,25,22,23,19,16,88,70,51,1013,1010,1005,16,14,6,29,11,37.0,0.51,7,Rain,324,17 ,MN,18363493,18409704,18123844,17634252,Minneapolis,44.9635,-93.2678,2926757.0,3019.0,1,3038,0,9,2011,3,81.82
36,2011-09-02,DTW,37,30,23,23,22,20,94,67,40,1014,1013,1011,14,7,2,24,9,32.0,T,4,,220,19 ,MI,17437716,17036092,16826287,16255520,Detroit,42.3834,-83.1024,3522206.0,1873.0,1,3038,0,9,2011,3,81.82
37,2011-09-02,PHL,25,22,18,17,16,14,87,71,54,1021,1019,1018,16,16,16,16,7,19.0,0.00,5,,149,20 ,PA,15285948,14271243,14564419,15101318,Philadelphia,40.0077,-75.1339,5637884.0,4547.0,1,3038,0,9,2011,3,81.82
38,2011-09-02,BOS,20,18,16,15,14,13,90,82,73,1022,1020,1017,16,16,14,21,11,24.0,0.00,3,,84,16 ,MA,20010262,18759742,17749202,16290362,Boston,42.3188,-71.0846,4637537.0,5472.0,1,3038,0,9,2011,3,81.82
39,2011-09-02,LGA,25,22,19,15,14,13,73,63,53,1021,1019,1017,16,16,16,21,12,26.0,0.00,2,,130,21 ,NY,15059648,14614802,14706123,14762593,New York,40.6943,-73.9249,19354922.0,11083.0,1,3038,0,9,2011,3,81.82
40,2011-09-03,ATL,35,29,23,17,16,14,64,47,30,1015,1013,1011,16,16,16,19,7,26.0,0.00,4,,147,1 ,GA,51866464,50251964,50501858,49340732,Atlanta,33.7627,-84.4225,5228750.0,1384.0,1,3038,0,9,2011,3,81.82
41,2011-09-03,ORD,32,26,21,22,20,18,93,70,46,1013,1012,1011,16,15,8,32,10,39.0,0.51,6,Rain-Thunderstorm,270,3 ,IL,39874879,38593028,37589899,36305668,Chicago,41.8373,-87.6862,8675982.0,4612.0,1,3038,0,9,2011,3,81.82
42,2011-09-03,LAX,19,17,15,14,13,13,93,81,68,1013,1012,1011,16,13,4,32,13,37.0,0.00,3,Fog,246,2 ,CA,42626783,41232432,39636042,36351226,Los Angeles,34.1139,-118.4068,12815475.0,3295.0,1,3038,0,9,2011,3,81.82
43,2011-09-03,DFW,38,32,26,19,14,9,54,36,18,1010,1008,1005,16,16,16,34,14,45.0,0.00,3,,82,4 ,TX,32800721,31816933,31283579,31589832,Dallas,32.7936,-96.7662,5733259.0,1524.0,1,3038,0,9,2011,3,81.82
44,2011-09-03,DEN,22,16,9,11,3,-2,72,47,22,1028,1019,1009,16,16,16,37,14,48.0,0.00,2,,18,5 ,CO,31363573,29809097,28267394,26280043,Denver,39.7621,-104.8759,2787266.0,1774.0,1,3038,0,9,2011,3,81.82
45,2011-09-03,JFK,26,22,18,19,17,14,79,71,62,1018,1015,1013,16,16,16,34,20,40.0,0.00,3,,215,6 ,NY,30541459,29533154,29239151,27782369,New York,40.6943,-73.9249,19354922.0,11083.0,1,3038,0,9,2011,3,81.82
46,2011-09-03,SFO,19,16,12,13,12,11,93,78,63,1013,1012,1011,16,15,13,32,15,40.0,0.00,4,,298,7 ,CA,27794154,26900048,25707101,24190549,San Francisco,37.7562,-122.443,3603761.0,7286.0,1,3038,0,9,2011,3,81.82
47,2011-09-03,CLT,32,26,19,23,21,19,100,78,55,1017,1015,1013,16,11,1,21,9,27.0,0.00,5,Fog,68,12 ,NC,22283574,22011251,21511880,21913166,Charlotte,35.2079,-80.8304,1467362.0,1081.0,1,3038,0,9,2011,3,81.82
48,2011-09-03,LAS,39,32,25,2,-3,-9,18,12,5,1012,1007,1005,16,16,16,23,10,27.0,0.00,2,,194,9 ,NV,23655285,23364393,22833267,21824231,Las Vegas,36.2333,-115.2654,2073045.0,1747.0,1,3038,0,9,2011,3,81.82
49,2011-09-03,PHX,43,36,29,13,9,6,37,24,11,1009,1005,1002,16,16,16,24,8,29.0,0.00,3,,268,13 ,AZ,21623842,21185458,20896265,21351445,Phoenix,33.5722,-112.0891,4081849.0,1212.0,1,3038,0,9,2011,3,81.82
50,2011-09-03,IAH,36,30,24,21,19,18,84,60,37,1008,1005,1003,16,16,16,45,23,61.0,1.27,4,Rain,359,14 ,TX,21157948,19603731,20062072,20595874,Houston,29.7869,-95.3905,5446468.0,1401.0,1,3038,0,9,2011,3,81.82
51,2011-09-03,MIA,32,27,23,24,23,21,94,79,63,1014,1013,1012,16,15,2,24,7,35.0,14.48,6,Rain-Thunderstorm,112,15 ,FL,21025210,20709225,20875813,20986341,Miami,25.7839,-80.2102,6381966.0,4969.0,1,3038,0,9,2011,3,81.82
52,2011-09-03,MCO,32,27,21,23,21,21,100,78,55,1015,1013,1012,16,16,16,23,9,34.0,0.00,6,,97,10 ,FL,23184634,21565448,20283541,18759938,Orlando,28.4772,-81.3369,1776841.0,982.0,1,3038,0,9,2011,3,81.82
53,2011-09-03,EWR,29,24,18,20,17,14,79,67,55,1017,1014,1012,16,16,16,26,15,34.0,0.00,4,,222,11 ,NJ,22798354,21571198,19923009,18684818,Newark,40.7245,-74.1725,285154.0,4560.0,2,3038,0,9,2011,3,81.82
54,2011-09-03,SEA,28,20,12,11,9,8,83,57,30,1023,1019,1015,16,16,16,26,18,32.0,0.00,0,,7,8 ,WA,24894338,22639124,21887110,21231781,Seattle,47.6211,-122.3244,3643765.0,3336.0,1,3038,0,9,2011,3,81.82
55,2011-09-03,MSP,27,22,16,18,16,9,84,61,38,1015,1012,1010,16,16,16,39,15,50.0,T,6,Rain-Thunderstorm,324,17 ,MN,18363493,18409704,18123844,17634252,Minneapolis,44.9635,-93.2678,2926757.0,3019.0,1,3038,0,9,2011,3,81.82
56,2011-09-03,DTW,35,28,22,23,21,16,93,65,36,1014,1011,1009,16,9,3,50,9,71.0,3.05,4,Rain-Thunderstorm,190,19 ,MI,17437716,17036092,16826287,16255520,Detroit,42.3834,-83.1024,3522206.0,1873.0,1,3038,0,9,2011,3,81.82
57,2011-09-03,PHL,28,24,19,19,17,14,81,68,55,1018,1015,1013,16,16,16,23,11,29.0,0.00,4,,218,20 ,PA,15285948,14271243,14564419,15101318,Philadelphia,40.0077,-75.1339,5637884.0,4547.0,1,3038,0,9,2011,3,81.82
58,2011-09-03,BOS,30,23,16,20,17,13,90,73,55,1017,1013,1011,16,16,10,27,16,37.0,0.00,3,,219,16 ,MA,20010262,18759742,17749202,16290362,Boston,42.3188,-71.0846,4637537.0,5472.0,1,3038,0,9,2011,3,81.82
59,2011-09-03,LGA,29,24,19,19,16,11,74,64,53,1017,1014,1012,16,16,16,24,15,29.0,0.00,4,,205,21 ,NY,15059648,14614802,14706123,14762593,New York,40.6943,-73.9249,19354922.0,11083.0,1,3038,0,9,2011,3,81.82
60,2011-09-04,ATL,27,24,22,22,19,16,93,72,51,1014,1012,1011,16,14,4,21,9,26.0,6.10,6,Rain,139,1 ,GA,51866464,50251964,50501858,49340732,Atlanta,33.7627,-84.4225,5228750.0,1384.0,1,3038,0,9,2011,3,81.82
61,2011-09-04,ORD,23,19,14,19,13,9,93,70,47,1017,1013,1010,16,16,16,35,19,45.0,0.00,5,,312,3 ,IL,39874879,38593028,37589899,36305668,Chicago,41.8373,-87.6862,8675982.0,4612.0,1,3038,0,9,2011,3,81.82
62,2011-09-04,LAX,21,18,16,15,14,13,97,83,68,1012,1011,1010,16,13,3,40,13,45.0,0.00,4,Fog,252,2 ,CA,42626783,41232432,39636042,36351226,Los Angeles,34.1139,-118.4068,12815475.0,3295.0,1,3038,0,9,2011,3,81.82
63,2011-09-04,DFW,36,30,24,18,15,13,54,43,31,1012,1009,1007,16,16,16,50,33,61.0,0.00,3,,9,4 ,TX,32800721,31816933,31283579,31589832,Dallas,32.7936,-96.7662,5733259.0,1524.0,1,3038,0,9,2011,3,81.82
64,2011-09-04,DEN,26,16,5,4,3,2,76,49,21,1024,1021,1017,16,16,16,35,14,45.0,0.00,1,,168,5 ,CO,31363573,29809097,28267394,26280043,Denver,39.7621,-104.8759,2787266.0,1774.0,1,3038,0,9,2011,3,81.82
65,2011-09-04,JFK,27,24,21,21,19,17,84,76,67,1014,1013,1011,16,16,16,35,19,42.0,T,6,,198,6 ,NY,30541459,29533154,29239151,27782369,New York,40.6943,-73.9249,19354922.0,11083.0,1,3038,0,9,2011,3,81.82
66,2011-09-04,SFO,19,16,13,12,12,10,86,75,63,1014,1013,1012,16,16,16,37,18,45.0,0.00,4,,293,7 ,CA,27794154,26900048,25707101,24190549,San Francisco,37.7562,-122.443,3603761.0,7286.0,1,3038,0,9,2011,3,81.82
67,2011-09-04,CLT,32,27,21,21,19,17,93,68,43,1014,1013,1010,16,15,11,24,11,29.0,0.51,5,,174,12 ,NC,22283574,22011251,21511880,21913166,Charlotte,35.2079,-80.8304,1467362.0,1081.0,1,3038,0,9,2011,3,81.82
68,2011-09-04,LAS,41,33,26,2,-1,-3,16,12,7,1010,1007,1004,16,16,16,27,12,35.0,0.00,2,,203,9 ,NV,23655285,23364393,22833267,21824231,Las Vegas,36.2333,-115.2654,2073045.0,1747.0,1,3038,0,9,2011,3,81.82
69,2011-09-04,PHX,43,37,29,13,9,4,34,22,10,1007,1005,1003,16,16,16,27,8,37.0,0.00,3,,176,13 ,AZ,21623842,21185458,20896265,21351445,Phoenix,33.5722,-112.0891,4081849.0,1212.0,1,3038,0,9,2011,3,81.82
70,2011-09-04,IAH,32,28,24,21,18,16,84,57,39,1006,1003,1001,16,16,11,48,29,69.0,0.00,7,Rain,353,14 ,TX,21157948,19603731,20062072,20595874,Houston,29.7869,-95.3905,5446468.0,1401.0,1,3038,0,9,2011,3,81.82
71,2011-09-04,MIA,32,28,24,25,23,21,94,79,64,1014,1013,1012,16,16,16,27,6,40.0,0.76,6,Rain-Thunderstorm,143,15 ,FL,21025210,20709225,20875813,20986341,Miami,25.7839,-80.2102,6381966.0,4969.0,1,3038,0,9,2011,3,81.82
72,2011-09-04,MCO,31,27,23,24,23,19,100,79,58,1014,1012,1011,16,16,16,32,8,40.0,T,6,Rain,146,10 ,FL,23184634,21565448,20283541,18759938,Orlando,28.4772,-81.3369,1776841.0,982.0,1,3038,0,9,2011,3,81.82
73,2011-09-04,EWR,31,27,22,22,20,18,79,68,57,1014,1012,1010,16,16,11,26,15,37.0,0.00,6,,199,11 ,NJ,22798354,21571198,19923009,18684818,Newark,40.7245,-74.1725,285154.0,4560.0,2,3038,0,9,2011,3,81.82
74,2011-09-04,SEA,28,20,11,12,8,3,83,52,20,1014,1013,1012,16,16,16,16,6,21.0,0.00,1,,324,8 ,WA,24894338,22639124,21887110,21231781,Seattle,47.6211,-122.3244,3643765.0,3336.0,1,3038,0,9,2011,3,81.82
75,2011-09-04,MSP,22,17,12,11,9,5,77,57,37,1023,1019,1015,16,16,11,35,19,50.0,T,4,Rain,321,17 ,MN,18363493,18409704,18123844,17634252,Minneapolis,44.9635,-93.2678,2926757.0,3019.0,1,3038,0,9,2011,3,81.82
76,2011-09-04,DTW,26,21,17,19,18,12,90,76,61,1012,1010,1009,16,13,6,26,13,37.0,0.76,7,Rain,241,19 ,MI,17437716,17036092,16826287,16255520,Detroit,42.3834,-83.1024,3522206.0,1873.0,1,3038,0,9,2011,3,81.82
77,2011-09-04,PHL,31,26,21,21,19,17,84,71,57,1014,1012,1010,16,16,16,23,11,39.0,0.00,5,,192,20 ,PA,15285948,14271243,14564419,15101318,Philadelphia,40.0077,-75.1339,5637884.0,4547.0,1,3038,0,9,2011,3,81.82
78,2011-09-04,BOS,29,25,20,22,19,17,84,73,61,1013,1011,1009,16,14,8,34,19,40.0,0.00,5,,209,16 ,MA,20010262,18759742,17749202,16290362,Boston,42.3188,-71.0846,4637537.0,5472.0,1,3038,0,9,2011,3,81.82
79,2011-09-04,LGA,30,27,23,20,19,17,74,66,58,1013,1012,1010,16,15,13,32,16,37.0,0.00,6,,198,21 ,NY,15059648,14614802,14706123,14762593,New York,40.6943,-73.9249,19354922.0,11083.0,1,3038,0,9,2011,3,81.82
80,2011-09-05,ATL,26,24,22,23,22,20,94,91,87,1010,1005,999,16,13,3,32,16,45.0,16.00,8,Rain-Thunderstorm,149,1 ,GA,51866464,50251964,50501858,49340732,Atlanta,33.7627,-84.4225,5228750.0,1384.0,1,3038,1,9,2011,3,81.82
81,2011-09-05,ORD,18,15,11,10,7,6,77,64,51,1021,1020,1017,16,16,16,42,24,56.0,0.00,3,,5,3 ,IL,39874879,38593028,37589899,36305668,Chicago,41.8373,-87.6862,8675982.0,4612.0,1,3038,1,9,2011,3,81.82
82,2011-09-05,LAX,27,22,17,15,14,13,84,68,52,1012,1010,1009,16,16,13,29,12,37.0,T,4,Rain,243,2 ,CA,42626783,41232432,39636042,36351226,Los Angeles,34.1139,-118.4068,12815475.0,3295.0,1,3038,1,9,2011,3,81.82
83,2011-09-05,DFW,29,24,19,11,6,2,45,31,17,1017,1015,1012,16,16,16,45,27,58.0,0.00,0,,9,4 ,TX,32800721,31816933,31283579,31589832,Dallas,32.7936,-96.7662,5733259.0,1524.0,1,3038,1,9,2011,3,81.82
84,2011-09-05,DEN,32,21,10,4,-1,-8,54,31,7,1023,1015,1010,16,16,16,34,15,45.0,0.00,1,,185,5 ,CO,31363573,29809097,28267394,26280043,Denver,39.7621,-104.8759,2787266.0,1774.0,1,3038,1,9,2011,3,81.82
85,2011-09-05,JFK,26,24,22,21,20,18,87,81,74,1011,1010,1009,16,16,16,45,24,53.0,T,7,,190,6 ,NY,30541459,29533154,29239151,27782369,New York,40.6943,-73.9249,19354922.0,11083.0,1,3038,1,9,2011,3,81.82
86,2011-09-05,SFO,18,15,12,11,10,9,93,77,60,1015,1014,1013,16,16,16,40,23,50.0,0.00,4,,284,7 ,CA,27794154,26900048,25707101,24190549,San Francisco,37.7562,-122.443,3603761.0,7286.0,1,3038,1,9,2011,3,81.82
87,2011-09-05,CLT,28,25,22,23,22,21,94,80,65,1012,1008,1005,16,10,2,45,13,66.0,41.15,8,Rain-Thunderstorm,184,12 ,NC,22283574,22011251,21511880,21913166,Charlotte,35.2079,-80.8304,1467362.0,1081.0,1,3038,1,9,2011,3,81.82
88,2011-09-05,LAS,33,29,25,14,8,2,48,32,15,1012,1009,1005,16,16,16,27,14,47.0,T,6,Rain,174,9 ,NV,23655285,23364393,22833267,21824231,Las Vegas,36.2333,-115.2654,2073045.0,1747.0,1,3038,1,9,2011,3,81.82
89,2011-09-05,PHX,41,37,33,17,13,12,36,27,18,1009,1007,1005,16,16,16,32,18,45.0,T,6,,149,13 ,AZ,21623842,21185458,20896265,21351445,Phoenix,33.5722,-112.0891,4081849.0,1212.0,1,3038,1,9,2011,3,81.82
90,2011-09-05,IAH,35,29,23,18,11,3,58,36,17,1014,1010,1007,16,15,10,32,24,58.0,0.00,1,,349,14 ,TX,21157948,19603731,20062072,20595874,Houston,29.7869,-95.3905,5446468.0,1401.0,1,3038,1,9,2011,3,81.82
91,2011-09-05,MIA,33,30,26,24,24,23,91,74,56,1013,1012,1011,16,16,16,24,11,42.0,T,4,,173,15 ,FL,21025210,20709225,20875813,20986341,Miami,25.7839,-80.2102,6381966.0,4969.0,1,3038,1,9,2011,3,81.82
92,2011-09-05,MCO,33,28,23,26,24,22,100,80,60,1012,1011,1009,16,16,14,37,14,53.0,1.27,4,Rain,178,10 ,FL,23184634,21565448,20283541,18759938,Orlando,28.4772,-81.3369,1776841.0,982.0,1,3038,1,9,2011,3,81.82
93,2011-09-05,EWR,29,26,22,21,19,18,82,69,55,1011,1009,1007,16,16,16,29,16,37.0,0.51,7,,185,11 ,NJ,22798354,21571198,19923009,18684818,Newark,40.7245,-74.1725,285154.0,4560.0,2,3038,1,9,2011,3,81.82
94,2011-09-05,SEA,28,20,12,11,9,4,83,53,23,1018,1015,1013,16,16,16,13,6,19.0,0.00,0,,285,8 ,WA,24894338,22639124,21887110,21231781,Seattle,47.6211,-122.3244,3643765.0,3336.0,1,3038,1,9,2011,3,81.82
95,2011-09-05,MSP,22,16,9,10,8,5,89,63,36,1024,1023,1020,16,15,2,21,6,24.0,0.00,1,Fog,168,17 ,MN,18363493,18409704,18123844,17634252,Minneapolis,44.9635,-93.2678,2926757.0,3019.0,1,3038,1,9,2011,3,81.82
96,2011-09-05,DTW,18,15,12,12,9,6,80,70,60,1019,1015,1012,16,16,16,34,19,45.0,0.00,7,,334,19 ,MI,17437716,17036092,16826287,16255520,Detroit,42.3834,-83.1024,3522206.0,1873.0,1,3038,1,9,2011,3,81.82
97,2011-09-05,PHL,29,24,19,22,20,18,87,73,59,1011,1009,1008,16,16,11,34,12,39.0,2.03,7,Rain,179,20 ,PA,15285948,14271243,14564419,15101318,Philadelphia,40.0077,-75.1339,5637884.0,4547.0,1,3038,1,9,2011,3,81.82
98,2011-09-05,BOS,31,26,21,21,19,16,87,69,51,1010,1010,1009,16,16,14,37,22,48.0,0.00,5,,204,16 ,MA,20010262,18759742,17749202,16290362,Boston,42.3188,-71.0846,4637537.0,5472.0,1,3038,1,9,2011,3,81.82
99,2011-09-05,LGA,27,25,22,21,19,17,84,76,67,1010,1009,1008,16,16,16,34,18,42.0,T,7,Rain,186,21 ,NY,15059648,14614802,14706123,14762593,New York,40.6943,-73.9249,19354922.0,11083.0,1,3038,1,9,2011,3,81.82
